Nome                            | Eziologia
---                             | ---                                                                                                                                                                                                                                                 |
Leucemia Mieloide cronica       | t(9;22) ⇒ formazione di un cromosoma chimerico, con proteina chimrica `BCR/ABL`, che perde il ruolo di induttore dell'apoptosi
Linfoma di Burkitt              | t(8;14) che porta `myc` sotto il dominio del promotore delle catene pesanti delle Ig ⇒ proliferazione incontrollata dei lfc B
Sindrome Melocardiofacciale     | Del(22q11.2) -- CATCH22
Sindrome di Di George           | Del(22q11.2) -- CATCH22
Distrofia Muscolare di Duchenne | Alterazione del gene che codifica per la `distrofina` (DMD), la quale non funziona ⇒ alterato ancoraggio dei miociti ⇒ morte dei miociti ⇒ sostituzione di tessuto muscolare con tessuto adiposo
Distrofia Muscolare di Becker   | Alterazione del gene che codifica per la `distrofina`, la quale però non perde completamente la funzione
Osteogenesi Imperfetta          | Alterazione del gene `COL1A` che codifica per la catena α del collagene ⇒ alterazione del 50% (tipo 1) o 75% (tipo 2) delle catene di collagene complessivamente prodotte ⇒ abnorme fragilità ossea. Il tipo 2 è letale nel periodo perinatale
Fibrosi Cistica                 | Alterazione del gene `CFTR` che codifica per una famiglia di canali per Cl^-^ ⇒ produzione di secreti estremamente viscosi (anche perché il canale lavora spesso collaborando con il canale ENAC (per il Na^+^)
Malattia di Tay-Sachs           | Tesaurismosi in cui si accumula il ganglioside GM~2~ per via del non funzionamento dell'enzima `N-acetil-esoaminidasi`, che dovrebbe digerire il ganglioside ⇒ danni cellulari ⇒ progressiva distruzione del tessuto nervoso
Sindrome di Prader-Willi        | Mutazioni nella regione 15q11-13 (paterna) che porta ad un prodotto genico non funzionante. Gli alleli materni sono inattivati per imprinting parentale ⇒ mancanza completa del prodotto genico codificato in quella regione
Sindrome di Angelman            | Mutazioni nella regione 15q11-13 (materna) ⇒ inattivazione specifica del gene `UBE3A` materno (agisce da ubiquitina-ligasi) ⇒ anomalie nello smaltimento dei prodotti proteici. __UBE3A paterno è disattivato per imprinting parentale__
CDG-1a^[Congenital Disease of Glicosilation | Alterazione nel gene che codifica `fofomannomutasi-2` ⇒ impossibilità di produrre le catene N-linked per la glicosilazione delle proteine ⇒ alterazioni del trafficking intracellulare delle proteine
CDG-2c                          | Deficienza (per via di mutazioni geniche) del sistema di trasporto del fucosio ⇒ glicosilazione anomala delle proteine che vengono glicosilate dal fucosio
Sindrome dell'X fragile         | Patologia genetica dovuta all'anomala presenza di un sito fragile (CGG repeats molto repeats) nel cromosoma X vicino al promotore per il gene `FMR1` ⇒ il dominio del promotore non viene trascritto ⇒ manca una proteina fondamentale nel corretto sviluppo del tessuto nervoso (trasporta mRNA da nucleo a porzione sinaptica + inibisce dinamicamente la traduzione di mRNA che presentano quartetto G (~4% del totale)
Corea di Huntington             | Espansione delle sequenze CAG contenute nel gene che codifica per la `huntingtina` ⇒ non funzionamento della huntingtina ⇒ progressivo danno neurologico
Sclerosi Amiotrofica Laterale (SLA) | Mutazione del locus C9orf7 (al momento non correlato con nessun gene (espansione della sequenza GGGGCC normalmente presente) ⇒ formazione di mRNA con quartetti G molto stabili ⇒ ??? ⇒ danni neurologici
Demenza Frontotemporale         | Mutazione del locus C9orf7
Retinoblastoma                  | Sindrome neoplasica ereditaria nel quale l'oncosoppressore `Rb` viene spento. __Se questo succede in entrambi gli alleli__ ⇒ perdità di affinità per il suo substrato naturale (`E2F`) ⇒ E2F è libero di migrare nel nucleo dove può agire da TF che ↑ proliferazione cellulare
Poliposi adenomatosa familiare (FAP) | Necessario doppio hit che porta alla loss of function dell'oncosoppressore APC ⇒ predisposizione allo sviluppo di adenomi nel colon (che possono poi esitare in carcinomi)
Sindrome di Gorling             | Sindrome neoplasica ereditaria in cui è alterata la via Hh, percorsa sotto lo stimolo di GF della famiglia `hedgehog` ⇒ epiteliomi basocellulari
Malattia di Von Hippel Lindau   | Alterazione genica della via per rilevare ipossia ⇒ produzione anomala di `HIF` (Hypoxia-Induced Factor) ⇒ alterata angiogenesi ⇒ formazione di emangioblastomi
Atassia-Telangectasia           | Mutazione del gene `ATM` ⇒ non funzionamento del sistema di riparazione HRR (Homologous Recombination Repair)
Human Non-polyposis Colorectal Cancer (HNPCC) | Mutazione dei geni `MSH2` o `MLH1` ⇒ non funzionamento del sistema di riparazione MMR (Mismatch Repair)
Anemia di Fanconi               | Perdita di funzione _parziale_ del gene `BRCA1` (aka `FANCD1` in questo specifico contesto) in entrambi gli alleli
Sindrome di Li-Fraumeni         | Loss of function di `p53`
